City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
266,Poya,NC,-21.35,165.15,73.76,80,37,5.97,scattered clouds
267,Biak,ID,-0.91,122.88,78.75,76,86,3.38,light rain
268,Marawi,PH,8.0,124.29,75.0,95,92,7.0,light rain
269,Srednekolymsk,RU,67.45,153.68,4.28,94,100,3.76,overcast clouds
270,Palmer,US,42.16,-72.33,34.0,98,90,5.82,light rain
271,Mahebourg,MU,-20.41,57.7,69.8,52,75,14.99,broken clouds
272,Puri,IN,19.8,85.85,75.2,78,20,3.36,haze
273,Methoni,GR,36.82,21.7,69.01,68,20,8.05,few clouds
274,Kaeo,NZ,-35.1,173.78,64.0,95,100,4.0,light rain
275,Saint-Georges,GD,12.06,-61.75,86.0,74,20,23.04,few clouds
276,Chifeng,CN,42.27,118.96,47.3,50,100,8.63,overcast clouds
277,Faya,SA,18.39,42.45,68.0,63,20,8.05,few clouds
278,Coolum Beach,AU,-26.53,153.1,75.0,87,4,7.0,clear sky
279,Bulolo,PG,-7.2,146.65,69.48,76,92,1.83,light rain
280,Honiara,SB,-9.43,159.95,75.2,100,75,2.24,broken clouds
281,Zhigansk,RU,66.77,123.37,-12.08,90,100,1.1,overcast clouds
282,Vila Franca Do Campo,PT,37.72,-25.43,69.8,94,75,16.11,broken clouds
283,Imbituba,BR,-28.24,-48.67,69.8,56,40,18.34,scattered clouds
284,Cape Town,ZA,-33.93,18.42,62.6,55,0,27.51,clear sky
285,Shuyskoye,RU,59.37,41.03,37.09,84,89,5.5,overcast clouds
286,Egvekinot,RU,66.32,-179.17,11.14,85,99,8.21,overcast clouds
287,Cururupu,BR,-1.83,-44.87,90.5,50,73,9.6,broken clouds
288,Tasiilaq,GL,65.61,-37.64,32.0,97,75,3.36,light shower snow
289,Muisne,EC,0.6,-80.03,82.4,78,75,6.93,broken clouds
290,Cabedelo,BR,-6.98,-34.83,86.0,66,40,11.41,scattered clouds
291,Togur,RU,58.36,82.83,26.02,99,100,3.13,overcast clouds
292,North Platte,US,41.12,-100.77,37.4,86,1,3.36,clear sky
293,Tayoltita,MX,24.08,-105.93,77.85,34,99,4.5,overcast clouds
294,Viedma,AR,-40.81,-63.0,78.01,22,0,8.01,clear sky
295,Velikooktyabrskiy,RU,57.43,33.82,43.52,90,100,3.11,light rain
296,Berlevag,NO,70.86,29.09,35.6,74,75,21.92,broken clouds
297,Ust-Ilimsk,RU,58.0,102.66,19.47,91,33,0.89,scattered clouds
298,San Lorenzo,PY,-25.33,-57.53,78.8,34,0,12.75,clear sky
299,Saint George,US,37.1,-113.58,51.8,29,1,3.56,clear sky
300,Finschhafen,PG,-6.6,147.87,79.09,75,72,2.93,light rain
301,Ketchikan,US,55.34,-131.65,44.6,75,40,8.05,scattered clouds
302,Tura,IN,25.52,90.22,72.66,82,0,4.54,clear sky
303,Tokur,RU,53.13,132.9,25.18,94,100,3.2,overcast clouds
304,Chingola,ZM,-12.53,27.88,79.59,29,34,3.62,scattered clouds
305,Batsfjord,NO,70.63,29.72,35.6,94,75,19.46,broken clouds
306,Bonnyville,CA,54.27,-110.73,28.87,98,100,18.45,overcast clouds
307,Road Town,VG,18.42,-64.62,86.0,74,40,13.87,scattered clouds
308,Uyskoye,RU,54.38,60.0,35.69,79,5,5.35,clear sky
309,Talnakh,RU,69.49,88.4,10.4,72,100,17.9,overcast clouds
310,Husavik,IS,66.04,-17.34,41.0,86,90,8.05,overcast clouds
311,Port Alfred,ZA,-33.59,26.89,63.05,54,89,5.17,overcast clouds
312,Santiago,CL,-33.46,-70.65,81.0,27,0,3.36,clear sky
313,Boa Vista,BR,2.82,-60.67,93.2,49,75,12.75,light rain
314,Geraldton,AU,-28.77,114.6,69.8,83,40,9.17,scattered clouds
315,Leningradskiy,RU,69.38,178.42,16.9,93,55,19.28,broken clouds
316,Lagoa,PT,39.05,-27.98,68.99,89,100,32.88,light rain
317,Durusu,TR,41.31,28.68,60.01,93,75,6.93,broken clouds
318,Inta,RU,66.03,60.17,38.79,94,100,13.47,light rain
319,Trelew,AR,-43.25,-65.31,76.71,17,0,5.7,clear sky
320,Dubti,ET,11.74,41.09,91.45,22,0,5.01,clear sky
321,Cairns,AU,-16.92,145.77,75.2,83,75,2.91,broken clouds
322,Zhaotong,CN,27.32,103.72,55.53,90,81,4.47,broken clouds
323,Nizhnyaya Tavda,RU,57.67,66.17,30.96,97,65,6.87,broken clouds
324,Bonavista,CA,48.65,-53.11,37.0,57,52,13.0,broken clouds
325,Yumen,CN,40.28,97.2,34.32,77,41,12.77,scattered clouds
326,Lavrentiya,RU,65.58,-171.0,21.33,87,86,7.43,overcast clouds
